model,split,class,auc,sensitivity,specificity,npv,ppv,acc
starnet_s1,val,Fracture,0.921(0.863-0.965),0.637(0.458-0.808),0.932(0.894-0.966),0.938(0.899-0.971),0.615(0.441-0.778),0.889(0.845-0.928)
starnet_s1,val,Good Place,0.904(0.860-0.942),0.898(0.823-0.964),0.713(0.635-0.791),0.935(0.886-0.979),0.606(0.505-0.705),0.774(0.715-0.831)
starnet_s1,val,Spacer,0.982(0.939-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000)
starnet_s1,val,Stem Loosening,0.937(0.884-0.975),0.321(0.105-0.542),0.974(0.949-0.995),0.934(0.894-0.969),0.552(0.250-0.857),0.914(0.874-0.952)
starnet_s1,val,Wear,0.953(0.893-0.992),0.329(0.000-0.667),0.990(0.975-1.000),0.971(0.946-0.990),0.604(0.000-1.000),0.962(0.937-0.986)
resnet18,val,Acetabular Loosening,0.915(0.871-0.952),0.778(0.660-0.881),0.851(0.792-0.909),0.906(0.853-0.950),0.676(0.557-0.784),0.831(0.773-0.879)
resnet18,val,Dislocation,0.975(0.939-1.000),0.599(0.250-0.889),0.995(0.980-1.000),0.980(0.959-0.995),0.856(0.500-1.000),0.976(0.952-0.995)
resnet18,val,Fracture,0.910(0.845-0.962),0.534(0.344-0.710),0.977(0.954-0.995),0.925(0.885-0.958),0.800(0.600-0.955),0.913(0.874-0.947)
resnet18,val,Good Place,0.886(0.839-0.927),0.807(0.701-0.901),0.782(0.712-0.851),0.892(0.829-0.945),0.645(0.538-0.745),0.790(0.734-0.845)
resnet18,val,Spacer,0.998(0.993-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000)
resnet18,val,Stem Loosening,0.947(0.905-0.975),0.521(0.286-0.750),0.969(0.940-0.989),0.952(0.918-0.983),0.625(0.385-0.857),0.927(0.889-0.961)
resnet18,val,Wear,0.908(0.827-0.964),0.000(0.000-0.000),0.995(0.985-1.000),0.957(0.928-0.981),0.000(0.000-0.000),0.952(0.923-0.981)
densenet121,val,Acetabular Loosening,0.916(0.865-0.955),0.797(0.690-0.897),0.912(0.865-0.956),0.919(0.873-0.959),0.783(0.672-0.883),0.880(0.836-0.923)
densenet121,val,Dislocation,0.956(0.864-1.000),0.805(0.500-1.000),1.000(1.000-1.000),0.990(0.975-1.000),1.000(1.000-1.000),0.991(0.976-1.000)
densenet121,val,Fracture,0.961(0.937-0.984),0.769(0.609-0.914),0.943(0.908-0.973),0.960(0.929-0.988),0.699(0.548-0.844),0.918(0.879-0.952)
densenet121,val,Good Place,0.886(0.836-0.930),0.734(0.632-0.838),0.878(0.819-0.931),0.871(0.814-0.924),0.747(0.632-0.849),0.831(0.778-0.889)
densenet121,val,Spacer,0.999(0.994-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000)
densenet121,val,Stem Loosening,0.955(0.923-0.983),0.731(0.500-0.941),0.957(0.926-0.984),0.972(0.946-0.995),0.633(0.435-0.833),0.937(0.903-0.966)
densenet121,val,Wear,0.855(0.708-0.972),0.439(0.091-0.800),0.985(0.965-1.000),0.975(0.955-0.995),0.565(0.141-1.000),0.961(0.937-0.986)
googlenet,val,Acetabular Loosening,0.924(0.888-0.956),0.608(0.485-0.727),0.947(0.907-0.980),0.859(0.805-0.908),0.820(0.696-0.932),0.851(0.797-0.894)
googlenet,val,Dislocation,0.978(0.945-1.000),0.699(0.375-1.000),0.980(0.959-0.995),0.985(0.964-1.000),0.637(0.333-0.909),0.966(0.942-0.990)
googlenet,val,Fracture,0.945(0.902-0.978),0.601(0.409-0.769),0.983(0.961-1.000),0.935(0.899-0.967),0.857(0.692-1.000),0.927(0.894-0.957)
googlenet,val,Good Place,0.893(0.846-0.934),0.882(0.797-0.952),0.682(0.607-0.755),0.922(0.866-0.970),0.577(0.481-0.667),0.748(0.691-0.807)
googlenet,val,Spacer,0.990(0.969-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000)
googlenet,val,Stem Loosening,0.919(0.864-0.963),0.421(0.188-0.647),0.974(0.948-0.995),0.943(0.908-0.974),0.619(0.333-0.889),0.923(0.884-0.957)
googlenet,val,Wear,0.856(0.733-0.955),0.223(0.000-0.546),0.990(0.974-1.000),0.966(0.941-0.990),0.490(0.000-1.000),0.957(0.928-0.986)
resnet50,val,Acetabular Loosening,0.857(0.798-0.913),0.830(0.729-0.918),0.717(0.644-0.792),0.914(0.858-0.957),0.538(0.435-0.646),0.749(0.691-0.812)
resnet50,val,Dislocation,0.968(0.927-0.997),0.701(0.375-1.000),0.985(0.965-1.000),0.985(0.969-1.000),0.705(0.384-1.000),0.971(0.947-0.990)
resnet50,val,Fracture,0.920(0.867-0.961),0.635(0.452-0.806),0.949(0.913-0.978),0.939(0.903-0.972),0.682(0.500-0.852),0.904(0.860-0.942)
resnet50,val,Good Place,0.884(0.832-0.929),0.588(0.474-0.704),0.928(0.884-0.966),0.821(0.755-0.879),0.800(0.686-0.902),0.816(0.763-0.865)
resnet50,val,Spacer,0.997(0.989-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000)
resnet50,val,Stem Loosening,0.960(0.930-0.984),0.427(0.188-0.667),0.990(0.973-1.000),0.945(0.908-0.975),0.808(0.500-1.000),0.938(0.903-0.966)
resnet50,val,Wear,0.869(0.712-0.977),0.441(0.091-0.800),0.979(0.959-0.995),0.975(0.950-0.995),0.487(0.125-0.834),0.956(0.928-0.981)
lsnet_b,val,Acetabular Loosening,0.840(0.765-0.895),0.658(0.527-0.774),0.838(0.776-0.895),0.861(0.803-0.916),0.617(0.491-0.737),0.787(0.725-0.841)
lsnet_b,val,Dislocation,0.991(0.974-1.000),0.902(0.667-1.000),0.995(0.984-1.000),0.995(0.985-1.000),0.904(0.667-1.000),0.991(0.976-1.000)
lsnet_b,val,Fracture,0.909(0.849-0.961),0.402(0.227-0.588),0.977(0.953-0.994),0.905(0.862-0.946),0.748(0.521-0.941),0.893(0.850-0.932)
lsnet_b,val,Good Place,0.865(0.812-0.913),0.765(0.656-0.866),0.791(0.723-0.860),0.873(0.811-0.929),0.643(0.534-0.753),0.783(0.725-0.841)
lsnet_b,val,Spacer,0.964(0.897-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000)
lsnet_b,val,Stem Loosening,0.935(0.885-0.975),0.682(0.444-0.875),0.963(0.933-0.984),0.968(0.938-0.989),0.650(0.417-0.850),0.937(0.903-0.966)
lsnet_b,val,Wear,0.948(0.904-0.983),0.329(0.000-0.667),0.979(0.956-0.995),0.970(0.946-0.990),0.424(0.000-0.876),0.952(0.918-0.976)
