excel_model,split,class,auc,sensitivity,specificity,npv,ppv,acc
mobilenetv4_m,test,Good Place,0.930(0.896-0.958),0.840(0.766-0.907),0.862(0.803-0.919),0.877(0.816-0.931),0.821(0.745-0.892),0.853(0.809-0.896)
mobilenetv4_m,test,Stem Loosening,0.688(0.432-1.000),0.240(0.000-1.000),1.000(1.000-1.000),0.987(0.973-1.000),1.000(1.000-1.000),0.987(0.974-1.000)
starnet_s1,test,Dislocation,1.000(1.000-1.000),0.832(0.500-1.000),1.000(1.000-1.000),0.996(0.986-1.000),1.000(1.000-1.000),0.996(0.987-1.000)
starnet_s1,test,Spacer,1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000)
starnet_s1,test,Acetabular Loosening,0.991(0.980-0.998),1.000(1.000-1.000),0.941(0.901-0.975),1.000(1.000-1.000),0.858(0.772-0.934),0.956(0.926-0.983)
starnet_s1,test,Good Place,0.985(0.973-0.994),0.849(0.775-0.915),0.970(0.937-0.993),0.895(0.844-0.942),0.955(0.907-0.989),0.918(0.878-0.948)
starnet_s1,test,Fracture,0.980(0.953-0.998),0.914(0.811-1.000),0.965(0.938-0.990),0.985(0.965-1.000),0.821(0.684-0.933),0.957(0.930-0.983)
starnet_s1,test,Wear,0.886(0.668-1.000),0.664(0.333-1.000),0.986(0.968-1.000),0.986(0.969-1.000),0.667(0.333-1.000),0.974(0.952-0.991)
starnet_s1,test,Stem Loosening,0.779(0.311-1.000),0.506(0.000-1.000),1.000(1.000-1.000),0.991(0.978-1.000),1.000(1.000-1.000),0.991(0.978-1.000)
densenet121,test,Dislocation,1.000(1.000-1.000),1.000(1.000-1.000),0.995(0.986-1.000),1.000(1.000-1.000),0.849(0.500-1.000),0.996(0.987-1.000)
densenet121,test,Spacer,1.000(1.000-1.000),1.000(1.000-1.000),0.958(0.927-0.981),1.000(1.000-1.000),0.654(0.444-0.833),0.961(0.935-0.983)
